ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
ITEM NUMBER,ITEM_ADDED_DATE,BR_ID,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05
ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
"11-5007-80-9",81,3,3,4,1,1,3,1,7,5,5,5,4,2
"11-5007-91",81,8,2,4,4,0,5,10,4,2,20,8,11,6
"11-5008-01",81,47,39,115,34,48,31,93,42,51,131,37,23,51
"11-5008-01-0",81,6,5,5,1,1,0,0,0,0,0,0,0,0
"11-5008-80",81,0,12,0,0,0,0,0,0,0,0,0,0,0
"11-5008-80-1",81,65,45,58,61,72,64,86,62,75,170,70,54,74
"11-5008-80-9",81,3,3,2,2,1,7,2,3,3,1,7,6,3
"11-5008-91",81,3,4,6,11,4,7,4,6,7,6,9,22,6
"11-5025-01",81,55,88,326,125,49,86,161,73,162,26,142,148,51
"11-5025-01-0",81,14,3,12,10,3,4,9,9,2,7,9,8,10
"11-5026-01",81,72,64,331,82,57,80,164,86,75,232,64,111,57
"11-5026-01-0",81,10,11,11,5,8,4,13,10,8,3,4,6,4
"11-5039-01-1",81,21,15,39,19,25,19,25,31,24,5,68,20,21
"11-5039-01-9",81,5,0,5,5,4,0,0,1,2,0,1,1,0
"11-5040-01",81,10,0,0,0,4,4,0,0,0,0,0,0,0
"11-5040-01-1",81,83,26,86,77,18,47,70,45,100,23,60,54,26
"11-5040-01-9",81,2,4,0,4,11,7,0,1,2,0,1,4,1
"11-5053-01",81,5,2,4,3,2,2,4,3,6,0,0,0,0
"11-5054-01",81,1,2,5,3,2,2,2,5,3,2,5,5,2
"11-5059-01",81,54,65,75,46,39,65,107,36,97,132,40,103,69
"11-5059-21",81,21,28,23,12,29,14,37,20,20,54,42,21,27
"11-5060-01",81,70,75,40,41,53,48,111,40,47,17,41,82,58
"11-5060-21",81,18,22,31,23,77,17,27,11,12,12,40,24,30
"11-5063-01",81,13,12,8,5,6,12,10,7,12,3,8,10,16
"11-5064-01",81,8,18,9,10,5,11,9,8,12,3,7,7,8
"11-5073-00",81,21,14,22,19,22,18,19,17,18,10,12,12,8
"11-5073-70",81,6,7,3,3,6,2,0,1,0,0,0,0,0
"11-5073-70-0",81,0,2,2,8,5,2,4,7,8,1,1,5,1
"11-5073-70-1",81,19,33,33,26,26,35,45,41,51,83,17,59,34
"11-5073-70-9",81,14,3,10,1,6,1,7,3,6,0,5,5,3
"11-5073-90",81,5,7,4,7,0,11,3,1,0,0,0,0,0
"11-5073-90-0",81,4,2,2,1,0,3,1,0,0,0,0,2,0
"11-5073-90-1",81,25,18,16,18,15,6,20,20,27,7,41,15,19
"11-5074-00",81,14,10,27,24,15,12,30,22,46,53,17,26,8
"11-5074-70",81,6,6,4,3,4,0,0,0,0,0,0,0,0
"11-5074-70-0",81,1,7,7,2,5,3,13,6,8,4,8,6,2
"11-5074-70-1",81,22,22,45,21,29,33,49,40,49,14,12,62,38
"11-5074-70-9",81,6,5,2,4,7,0,3,7,8,6,5,4,6
"11-5074-90",81,4,8,4,6,0,0,13,0,0,0,0,0,0
"11-5074-90-0",81,0,2,0,0,0,3,1,1,1,0,0,0,0
"11-5074-90-1",81,17,14,14,18,21,12,13,21,14,10,33,19,16
"11-5075-01",81,61,36,343,38,39,52,97,47,58,23,35,21,9
"11-5075-01-0",81,4,5,1,1,2,0,4,6,3,0,0,0,0
"11-5075-91",81,19,24,25,20,9,14,32,26,34,70,17,25,24
"11-5075-91-0",81,0,0,7,1,3,3,4,0,0,0,0,2,0
"11-5076-01",81,78,59,362,42,42,34,98,56,284,37,20,30,16
"11-5076-01-0",81,3,1,1,1,1,3,5,3,1,0,0,0,0
"11-5076-91",81,36,31,30,23,19,15,22,23,27,30,84,36,59
"11-5076-91-0",81,1,2,0,0,2,2,5,6,0,1,2,1,0
"11-5077-00",81,13,21,24,11,11,9,15,10,14,36,15,8,9
"11-5077-00-0",81,0,0,0,0,0,0,0,0,0,1,0,0,0
"11-5078-00",81,42,14,13,11,13,17,24,10,28,11,20,8,8
"11-5078-00-0",81,0,2,0,0,0,0,0,1,1,3,0,0,0
"11-5079-01",81,15,0,2,2,0,3,2,0,0,0,0,0,0
"11-5079-01-0",81,1,1,1,3,1,3,4,2,7,7,16,22,16
"11-5079-01-1",81,21,28,309,49,3,6,25,23,109,10,68,44,36
"11-5080-01",81,7,8,4,0,2,4,0,0,0,0,0,0,0
"11-5080-01-0",81,1,1,0,2,1,1,5,1,3,22,21,15,37
"11-5080-01-1",81,31,24,316,39,7,11,14,21,119,8,75,49,46
"11-5129-01",81,47,56,357,34,53,42,99,47,52,34,220,44,30
