PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_03_ACTUAL,2016_03_MSF_FORECAST,2016_03_RF_FORECAST
,,D,83,0,2,2
,,D,84,8,2,1
,,D,85,0,1,1
,,C,81,11,7,5
,,C,82,6,1,1
,,C,83,1,1,1
,,C,84,5,2,2
,,C,85,6,3,2
,,C,81,10,6,4
,,C,82,9,1,1
,,C,83,1,1,1
,,C,84,1,1,1
,,C,85,3,2,2
,,D,81,0,13,3
,,D,82,0,19,2
,,D,83,0,4,1
,,D,84,0,9,2
,,D,85,1,6,2
,,A,81,1405,554,247
,,A,82,233,164,125
,,A,83,57,59,61
,,A,84,92,133,116
,,A,85,93,106,102
,,D,81,4,9,10
,,D,82,5,1,1
,,D,83,0,7,6
,,D,84,7,9,9
,,D,85,4,8,7
,,D,81,0,12,22
,,D,82,15,21,18
,,D,83,19,14,15
,,D,84,16,19,24
,,D,85,34,32,27
,,D,81,0,3,1
,,D,82,0,9,2
,,D,83,0,1,0
,,D,84,0,8,1
,,D,85,0,6,1
,,A,81,1195,551,244
,,A,82,248,168,117
,,A,83,64,54,52
,,A,84,111,127,117
,,A,85,69,109,107
,,D,81,2,8,9
,,D,82,1,1,1
,,D,83,4,9,8
,,D,84,11,10,9
,,D,85,10,10,12
,,D,81,22,9,19
,,D,82,19,21,18
,,D,83,15,13,13
,,D,84,18,15,16
,,D,85,9,33,28
,,C,81,83,37,31
,,C,82,5,11,12
,,C,83,8,8,8
,,C,84,14,12,10
,,C,85,6,12,12
,,C,81,96,36,30
,,C,82,5,6,5
,,C,83,11,10,10
,,C,84,15,10,10
,,C,85,14,15,15
,,D,81,8,4,3
,,D,82,0,1,1
,,D,83,4,2,2
,,D,84,2,3,2
,,D,85,3,3,3
,,D,81,4,4,3
,,D,82,0,2,1
,,D,83,4,2,2
,,D,84,5,3,2
,,D,85,7,2,2
,,C,81,38,27,23
,,C,82,6,4,4
,,C,83,9,10,9
,,C,84,11,7,8
,,C,85,8,11,10
,,C,81,33,31,22
,,C,82,0,6,5
,,C,83,16,10,9
,,C,84,9,8,7
,,C,85,5,11,10
,,D,81,12,7,5
,,D,82,1,1,1
,,D,83,1,1,1
,,D,84,2,2,1
,,D,85,0,2,2
,,D,81,11,7,6
,,D,82,3,1,1
,,D,83,2,2,1
,,D,84,1,1,1
,,D,85,3,2,1
,,D,81,10,13,9
,,D,82,2,2,2
,,D,83,0,3,3
,,D,84,0,2,2
,,D,85,2,3,3
,,D,81,12,11,9
,,D,82,1,2,2
,,D,83,2,3,3
,,D,84,2,2,2
,,D,85,1,2,2
,,C,81,37,12,14
,,C,82,6,4,7
,,C,83,4,8,12
,,C,84,7,4,5
,,C,85,4,2,4
,,D,81,3,5,3
,,D,82,0,0,0
,,D,83,6,2,1
,,D,84,0,1,1
,,D,85,0,2,2
,,C,81,38,13,20
,,C,82,3,4,7
,,C,83,5,8,12
,,C,84,13,4,5
,,C,85,6,2,4
,,D,81,6,7,5
,,D,82,0,0,0
,,D,83,4,4,3
,,D,84,2,1,1
,,D,85,3,3,2
,,D,81,12,6,4
,,D,82,1,1,1
,,D,83,1,1,1
,,D,84,2,3,3
,,D,85,2,1,1
,,D,81,11,5,4
,,D,82,0,1,1
,,D,83,0,2,1
,,D,84,2,3,3
,,D,85,2,1,1
,,D,81,2,9,8
,,D,82,5,3,3
,,D,83,9,6,5
,,D,84,7,6,5
,,D,85,3,3,2
,,D,81,18,12,8
,,D,82,5,2,2
,,D,83,6,6,5
,,D,84,10,7,5
,,D,85,3,4,3
,,D,81,34,8,7
,,D,82,1,0,0
,,D,83,1,3,2
,,D,84,5,5,3
,,D,85,0,1,1
,,D,81,11,7,7
,,D,82,0,1,1
,,D,83,2,2,1
,,D,84,4,4,2
,,D,85,0,1,1
,,D,81,15,13,10
,,D,82,2,1,1
,,D,83,0,4,3
,,D,84,6,7,7
,,D,85,1,3,2
,,D,81,17,11,9
,,D,82,2,1,1
,,D,83,2,4,3
,,D,84,5,7,6
,,D,85,4,3,2
,,C,81,50,33,27
,,C,82,17,11,11
,,C,83,6,10,12
,,C,84,8,8,9
,,C,85,1,8,11
,,C,81,33,32,26
,,C,82,13,10,10
,,C,83,4,16,15
,,C,84,10,8,10
,,C,85,3,11,13
,,D,81,20,7,6
,,D,82,1,7,5
,,D,83,4,2,2
,,D,84,8,2,2
,,D,85,15,9,9
,,D,81,19,8,8
,,D,82,0,5,3
,,D,83,5,2,2
,,D,84,3,2,2
,,D,85,14,5,5
,,D,81,0,2,1
,,D,82,0,1,0
,,D,83,0,2,1
,,D,84,0,2,1
,,D,85,0,5,1
,,A,81,982,277,187
,,A,82,45,48,47
,,A,83,31,25,26
,,A,84,74,59,60
,,A,85,39,29,32
,,D,81,8,3,2
,,D,82,0,1,1
,,D,83,3,4,3
,,D,84,8,5,4
,,D,85,7,5,5
,,D,81,0,0,0
,,D,82,6,4,3
,,D,83,9,6,5
,,D,84,3,3,3
,,D,85,10,14,13
,,D,81,0,2,2
,,D,82,0,1,0
,,D,83,0,2,0
,,D,84,0,2,0
,,D,85,0,3,1
,,A,81,796,254,180
,,A,82,47,45,45
,,A,83,25,22,23
,,A,84,55,64,67
,,A,85,33,29,32
,,D,81,11,3,3
,,D,82,0,1,1
,,D,83,5,3,3
,,D,84,8,4,3
,,D,85,3,5,5
,,D,81,0,0,0
,,D,82,7,5,4
,,D,83,4,7,5
,,D,84,3,3,3
,,D,85,13,14,12
,,D,81,9,9,8
,,D,82,1,2,1
,,D,83,0,2,1
,,D,84,2,3,3
,,D,85,2,2,1
,,D,81,12,8,7
,,D,82,0,2,1
,,D,83,1,2,1
,,D,84,4,3,2
,,D,85,3,2,1
,,C,81,115,53,40
,,C,82,24,8,17
,,C,83,5,5,9
,,C,84,30,16,24
,,C,85,10,4,7
,,C,81,107,50,41
,,C,82,12,8,16
,,C,83,5,6,9
,,C,84,29,16,24
,,C,85,9,4,8
,,D,81,11,8,7
,,D,82,5,8,9
,,D,83,0,1,1
,,D,84,7,6,5
,,D,85,15,8,7
,,D,81,11,17,13
,,D,82,4,2,1
,,D,83,0,2,1
,,D,84,7,9,8
,,D,85,1,6,5
,,D,81,14,8,8
,,D,82,6,10,9
,,D,83,3,1,0
,,D,84,7,7,6
,,D,85,12,8,9
,,D,81,14,15,11
,,D,82,1,3,3
,,D,83,2,2,1
,,D,84,7,6,5
,,D,85,5,3,3
,,D,81,16,7,6
,,D,82,1,1,1
,,D,83,1,3,2
,,D,84,6,2,2
,,D,85,3,2,1
,,D,81,15,7,6
,,D,82,0,1,1
,,D,83,2,2,1
,,D,84,8,3,2
,,D,85,1,1,1
,,D,81,26,9,8
,,D,82,0,1,0
,,D,83,1,3,2
,,D,84,6,5,5
,,D,85,0,1,1
,,D,81,12,8,7
,,D,82,0,0,0
,,D,83,0,3,2
,,D,84,4,5,4
,,D,85,1,1,1
,,C,81,28,27,21
,,C,82,6,6,6
,,C,83,8,12,11
,,C,84,13,10,9
,,C,85,5,5,4
,,C,81,26,23,18
,,C,82,7,8,9
,,C,83,12,13,10
,,C,84,5,11,9
